FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
231015;0000;8;;;
231016;0000;5;;;
231017;0000;9;;;
231018;0000;11;;;
231019;0000;12;;;
231020;0000;13;;;
231021;0000;9;;;
231022;0000;10;;;
231023;0000;9;;;
231024;0000;9;;;
231025;0000;10;;;
231026;0000;7;;;
231027;0000;6;;;
231028;0000;3;;;
231029;0000;9;;;
231030;0000;7;;;
231031;0000;7;;;
231101;0000;8;;;
231102;0000;7;;;
231103;0000;7;;;
231104;0000;8;;;
231105;0000;5;;;
231106;0000;6;;;
231107;0000;4;;;
231108;0000;3;;;
231109;0000;5;;;
231110;0000;8;;;
231111;0000;8;;;
231112;0000;4;;;
231113;0000;4;;;
231114;0000;4;;;
231115;0000;4;;;
231116;0000;4;;;
231117;0000;8;;;
231118;0000;9;;;
231119;0000;6;;;
231120;0000;2;;;
231121;0000;5;;;
231122;0000;5;;;
231123;0000;4;;;
231124;0000;8;;;
231125;0000;11;;;
231126;0000;7;;;
231127;0000;5;;;
231128;0000;2;;;
231129;0000;4;;;
231130;0000;3;;;
231201;0000;2;;;
231202;0000;3;;;
231203;0000;3;;;
231204;0000;7;;;
231205;0000;5;;;
231206;0000;7;;;
231207;0000;4;;;
231208;0000;5;;;
231209;0000;3;;;
231210;0000;4;;;
231211;0000;2;;;
231212;0000;4;;;
231213;0000;4;;;
231214;0000;6;;;
231215;0000;5;;;
231216;0000;3;;;
231217;0000;3;;;
231218;0000;3;;;
231219;0000;9;;;
231220;0000;7;;;
231221;0000;7;;;
231222;0000;5;;;
231223;0000;4;;;
231224;0000;6;;;
231225;0000;4;;;
231226;0000;8;;;
231227;0000;8;;;
231228;0000;4;;;
231229;0000;5;;;
231230;0000;3;;;
